GPStime,peakFreq,snr,amplitude,centralFreq,duration,bandwidth,chisq,chisqDof,confidence,id,ifo,label,imgUrl,Q-value
1252890121,39.789,26.034,2.00E-22,71.655,1,112.7202,0,0,1,OTJrXRryK2,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/h6T0J3cuRB/OTJrXRryK2.png,5.657
1253061636,39.789,25.978,2.09E-22,1682.952,1,3335.315186,0,0,1,iIYkiQVF50,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/cqyQGnyXji/iIYkiQVF50.png,5.657
1253061636,39.789,25.978,2.09E-22,1682.952,1,3335.315186,0,0,1,3lwTfM49WA,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/PoGnHyfwDF/3lwTfM49WA.png,5.657
1240879147,49.208,25.851,1.59E-22,3984.699,1.208,7931.567383,0,0,1,Upx4UXswls,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/QBU61q34de/Upx4UXswls.png,5.657
1249639922,39.789,25.806,2.03E-22,71.655,1,112.7202,0,0,1,07WgyHDfzY,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/GHJ7nBP1bX/07WgyHDfzY.png,5.657
1249639922,39.789,25.806,2.03E-22,71.655,1,112.7202,0,0,1,fTQF0Eqngf,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/PXGp7tZieM/fTQF0Eqngf.png,5.657
1249639922,39.789,25.806,2.03E-22,71.655,1,112.7202,0,0,1,eIcd8WmutW,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/AYl5dOtbBr/eIcd8WmutW.png,5.657
1250253925,49.208,25.725,1.63E-22,3982.889,1.078,7935.187988,0,0,1,J8xIusFVAq,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/5ohDvikezY/J8xIusFVAq.png,5.657
1240990846,39.789,25.627,1.94E-22,3982.889,0.75,7935.187988,0,0,1,qi6U5n0Var,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/8ZXyqkacdY/qi6U5n0Var.png,5.657
1253066918,39.789,25.272,2.01E-22,3873.628,0.75,7709.42627,0,0,1,ALjKTY9GaC,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/cqyQGnyXji/ALjKTY9GaC.png,5.657
