GPStime,peakFreq,snr,Standard example? (y/n)
1247457967.125,28.669,11.194,y
1242267667.813,31.594,9.035,y
1242426731.625,31.509,8.265,n
1244757077.438,24.613,14.09,y
1249584942.125,30.629,10.727,y
1239964187.875,30.417,17.651,y
1238636958.938,31.851,10.208,n
1242315783.625,31.213,9.091,y
1238641089.313,30.193,11.642,n
1238554999.625,30.706,13.234,n
1238673330.813,32.423,12.335,n
1246653384.875,30.341,11.632,y
1238352357.125,30.417,12.648,y
1243958749.719,54.919,12.048,n
1238519644.938,32.423,13,n
1245364337.188,30.487,10.992,y
1250188635.875,27.868,13.036,y
1238356216.875,29.566,10.484,n
1245414805.625,33.663,13.176,y
1238571602.625,32.193,10.856,y
1240318870.125,32.193,10.306,n
1253656386.875,31.213,16.153,y
1240769013.813,33.33,11.44,y
1239445386.125,32.499,8.806,n
1253226929.313,27.393,15.743,y
1238908107.125,30.131,12.827,y
1250782806.938,29.948,10.535,y
1245295589.625,30.629,12.561,y
1252102061.063,28.898,9.905,y
1251486022.125,32.11,12.039,y
1243650424.875,24.416,38.066,n
1238535359.125,24.012,10.821,y
1244943105.625,30.92,12.347,y
1251534517.125,28.4,12.157,y
1240331059.625,31.293,12.454,y
1244955005.875,31.509,11.334,y
1239486935.625,31.293,9.982,y
1245564259.375,29.773,9.521,y
1240320708.219,38.743,36.951,y
1240327126.063,31.288,10.639,y
1253590487.313,29.948,8.959,y
1253941264.313,32.741,10.767,y
1245110915.813,32.162,8.505,y
1245633438.313,31.594,10.488,y
1244048477.313,27.886,10.018,y
1244523058.813,30.487,9.966,y
1248763433.875,31.509,11.773,y
1238618850.875,28.739,9.948,y
1250451162.188,26.909,8.385,y
1247528857.313,31.035,9.83,n
1245415300.625,32.11,12.016,y
1238355974.125,32.808,16.273,y
1250454394.625,31.213,11.576,y
1253297316.625,29.773,10.359,y
1238519884.844,31.546,12.405,n
1238350893.375,32.808,9.668,y
1253940575.688,41.05,90.154,y
1252800629.875,30.341,13.143,y
1240861253.125,31.213,9.527,y
1238619801.188,31.851,13.204,y
1238538941.938,39.267,12.162,y
1250783465.625,28.941,8.755,y
1238732971.688,30.736,10.499,n
1244702431.375,32.723,12.582,y
1238672574.813,31.851,10.473,n
1247107202.688,31.594,17.888,y
1238355504.875,29.288,14.719,y
1239250756.563,32.423,12.297,y
1250782518.313,27.393,8.467,y
1238555155.375,32.808,9.124,y
1247087046.875,31.213,14.351,y
1245415433.125,30.92,9.474,y
1238371953.313,24.384,19.065,y
1238646686.563,31.851,9.393,n
1238976959.938,30.736,22.146,y
1251348384.313,27.886,10.654,y
1240319140.875,31.89,10.378,y
1238565258.063,31.288,9.988,y
1253940733.938,44.272,18.858,y
1253410117.438,23.75,18.161,y
1247453889.188,29.948,10.592,y
1244999812.938,29.948,8.438,y
1250454411.125,30.629,11.18,y
1238618987.375,30.706,11.08,y
1238368676.625,30.417,9.696,y
1238371933.938,29.137,29.847,y
1252798717.375,23.959,21.976,y
1251348337.625,31.509,8.679,y
1249585892.438,26.909,9.247,y
1245295534.313,32.741,10.496,y
1240335803.688,31.288,8.912,y
1242315939.688,24.178,14.558,y
1245367487.875,31.809,13.707,y
1242316713.375,30.341,10.168,y
1248260537.938,31.035,9.263,y
1245124312.438,31.035,8.502,y
1245297187.563,35.162,8.292,y
1244955956.875,30.92,10.035,y
1253625419.375,31.509,12.477,y
1245792355.313,28.898,13.452,y
1250783378.875,28.941,10.908,y
1243509585.625,33.033,10.889,n
1248763372.375,30.341,10.884,y
1251501607.125,29.493,12.375,y
1241804348.875,34.305,17.331,n
1250783500.875,32.415,16.883,n
1242267286.625,29.773,9.723,y
1238909634.625,29.847,19.092,y
