GPStime,peakFreq,snr,Standard example? (y/n)
1262971839.477,27.308,8.177,y
1258875217.016,30.288,7.579,y
1260705912.352,27.308,8.387,y
1259261018.941,26.015,9.467,y
1257311976.563,37.762,8.03,y
1258043966.570,34.59,7.991,y
1260619201.875,31.509,11.071,y
1260585945.727,30.734,10.481,y
1260557355.563,23.331,14.391,y
1262968459.742,27.308,13.438,y
1260169646.125,24.187,10.978,y
1262661047.227,27.308,10.652,y
1258943735.625,30.92,8.468,y
1262188126.320,27.308,7.684,y
1262503180.875,31.509,10.047,y
1262298155.297,30.288,7.963,y
1262334826.891,30.288,8.572,y
1258867419.953,30.288,9.061,y
1262524196.875,30.341,9.85,y
1260200153.875,30.341,8.655,y
1258888014.438,25.507,7.699,y
1260176720.625,23.29,10.96,y
1262522256.367,27.308,8.871,y
1261563182.563,29.418,10.136,y
1259206311.625,30.629,12.32,y
1257924650.641,41.57,9.403,n
1267924995.738,26.015,8.345,n
1258973915.313,31.594,9.73,y
1258382902.465,32.173,8.26,y
1257281839.078,30.288,9.035,y
1262201991.547,34.378,10.653,n
1259409876.652,26.015,10.964,y
1261796033.125,28.941,10.717,y
1259263374.992,27.308,7.527,y
1262794508.328,36.625,8.69,n
1257656670.891,32.268,9.947,y
1260605907.125,19.099,10.581,y
1261990045.047,26.685,8.574,y
1263006726.363,32.173,10.681,y
1258863082.578,34.378,13.737,y
1260169763.125,30.92,11.275,y
1260564733.414,30.734,11.244,y
1262512871.125,30.056,8.199,y
1260587582.688,33.33,14.486,y
1260612345.938,29.418,9.648,y
1260907772.852,30.734,11.281,y
1260206290.563,31.035,10.142,y
1262214489.125,27.09,8.252,y
1257524916.820,30.734,8.49,y
1258056291.246,39.789,9.991,y
1262762053.289,34.59,12.895,y
1262952120.418,32.173,9.7,y
1262502998.969,29.735,8.633,y
1259201765.102,27.308,9.494,n
1262654134.602,27.308,7.655,y
1262350605.359,32.268,9.23,y
1262713049.176,26.015,13.67,y
1262376765.852,27.308,10.391,y
1260155996.383,27.308,14.482,y
1258865667.207,32.173,13.377,y
1257281287.422,28.43,8.292,y
1259208270.168,26.015,10.1,y
1258894943.422,28.43,8.27,y
