GPStime,peakFreq,snr,Standard example? (y/n)
1248842493.188,31.594,9.717,n
1252955871.563,31.594,7.526,n
1250540704.125,26.835,90.816,y
1250887172.969,31.798,12.393,y
1238238006.438,28.623,9.016,y
1243611506.875,31.809,7.797,y
1243690140.875,30.92,7.594,y
1241016373.875,30.92,189.541,y
1249674655.313,29.948,10.136,y
1242315154.625,18.175,20.574,y
1243614668.688,31.035,9.244,y
1243255626.625,28.669,8.297,y
1250005305.063,19.519,34.254,y
1241795108.188,26.909,70.989,y
1239202309.375,30.417,10.136,y
1241800335.313,19.174,43.258,y
1250363974.438,27.393,10.132,y
1252784943.875,30.629,9.123,y
1243600717.813,31.594,10.71,y
1253199593.375,29.493,7.781,y
1243621634.125,30.056,10.296,y
1243429910.375,28.133,8.785,y
1253303694.875,31.809,7.542,y
1253362909.313,19.871,32.26,y
1250082228.969,31.798,9.457,y
1241797685.938,19.174,31.622,y
1238509020.688,19.692,25.777,y
1253195894.938,26.433,9.022,y
1241686237.313,62.203,28.61,y
1253101495.313,19.174,44.144,y
1253101495.313,19.174,44.144,y
1241475568.938,31.035,8.866,n
1243632782.625,30.629,8.882,y
1243632573.563,29.948,8.544,y
1241214058.813,42.229,268.273,y
1239997944.125,32.499,8.927,y
1241470631.438,62.203,11.254,y
1241468717.844,30.749,7.655,y
1243725088.813,30.487,8.947,y
1241640391.406,49.345,15.78,y
1244750830.031,50.233,10.478,y
1243438329.313,29.948,7.851,y
1241800204.063,31.035,62.287,y
1253040112.313,32.162,10.431,y
1253046158.625,18.502,44.828,y
1239561722.313,31.288,7.804,y
1247962305.313,29.418,7.618,y
1239761357.969,31.546,8.557,y
1249329090.875,33.033,10.762,y
1245050404.938,20.963,71.708,y
1239984165.594,32.623,7.53,y
1240920038.063,28.388,10.832,y
1253362641.875,30.92,128.405,y
1238545561.375,32.499,9.545,y
1239738121.063,28.117,133.035,y
1240761551.188,33.93,11.161,y
1238514138.438,26.184,67.298,y
1253161261.625,18.502,23.154,y
1251210132.313,28.898,9.167,n
1240252103.406,47.127,12.234,y
1250524595.688,25.966,10.166,y
1249648971.938,29.418,8.371,y
1249834042.734,32.268,8.14,y
1248646327.625,33.033,7.964,y
1239741067.188,19.344,54.041,y
1240587436.813,30.736,112.087,y
1243444310.688,31.594,8.528,y
1240587540.688,24.822,41.991,y
1241896264.875,30.92,8.596,y
1243618113.125,30.92,9.3,y
1244570052.438,33.93,7.915,y
1250866169.125,32.415,8.179,n
1252616491.625,31.213,8.312,n
1253533980.375,25.84,84.231,y
1238506925.938,20.773,61.951,y
1248393365.438,29.948,8.608,y
1244318947.313,28.898,7.719,y
1240602339.875,32.499,9.164,y
1253031775.875,30.629,9.475,y
1246295763.625,30.629,8.824,n
1241476883.188,28.898,7.771,y
1243601138.125,31.809,8.732,y
1244540784.188,31.035,7.813,n
1241014673.969,45.136,10.374,y
1243352679.438,32.741,8.434,y
1249490815.313,26.909,11.284,y
1248990413.063,31.035,9.722,y
1243262781.813,26.433,11.457,y
1250867224.938,29.418,8.005,y
1242309494.125,31.213,9.129,y
1240760823.563,26.909,8.695,y
1251445810.813,27.393,7.654,y
1238700822.625,27.154,172.677,y
1245486960.813,31.594,10.496,y
1250277394.063,28.898,10.064,y
1253553064.688,28.388,10.089,y
1250436240.563,34.541,8.032,y
1241467657.031,30.749,7.881,y
1243350859.125,29.773,8.656,y
1243627692.125,33.663,9.365,y
1238272528.063,31.851,8.355,y
1252096274.375,29.773,8.458,y
1252431204.188,31.035,17.122,y
1248472906.563,31.035,9.268,y
1250363981.313,33.93,8.541,y
1253402449.813,24.613,130.141,y
1245671883.125,30.341,196.905,y
1243624022.563,30.487,10.518,y
1251367351.125,33.983,10.887,y
1243192445.563,31.035,7.91,y
1240920040.375,30.056,9.008,y
1253085269.313,19.174,31.415,y
1243356149.563,29.948,8.755,y
1244674276.375,33.033,135.71,y
1238346063.125,30.131,8.401,y
1243788159.938,28.388,8.031,y
1253028806.344,28.755,10.693,y
1245053044.625,18.835,35.373,y
1239205748.625,18.338,21.723,n
1242267516.375,29.773,145.153,y
1242267530.875,28.4,97.744,y
1251182520.438,31.594,9.424,y
1253362648.563,26.433,99.731,y
1238355017.563,29.661,9.97,y
